algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,K,n_seeds_tried,timeout_limit,display_name
ClassicalClique,ext_mc_C1000-9,maximum_clique,60,11.06498564,60,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,ClassicalClique,1,1,12.23969367,1000,external,ClassicalClique,N/A,0,,,ClassicalClique
MS_Degree(K=20),ext_mc_C1000-9,maximum_clique,60,211.9068688,1157,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,MS_Degree_K20,0,0,212.9057461,1000,external,MS_Degree,N/A,20,20,,MS_Degree
MS_Random(K=5),ext_mc_C1000-9,maximum_clique,61,51.37989333,287,61,0,0,FALSE,"[384, 898, 644, 773, 900, 135, 779, 397, 910, 527, 143, 147, 787, 663, 543, 416, 289, 674, 162, 804, 38, 39, 680, 937, 682, 940, 560, 305, 439, 312, 699, 315, 574, 447, 703, 961, 706, 336, 721, 212, 469, 340, 471, 986, 606, 863, 482, 483, 355, 100, 615, 103, 617, 618, 622, 495, 366, 884, 246, 374, 252]",C1000-9,MS_Random_K5,1,1,52.3848344,1000,external,MS_Random,N/A,5,5,,MS_Random
MS_Degree(K=5),ext_mc_C1000-9,maximum_clique,60,52.55972924,289,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,MS_Degree_K5,1,1,53.52294068,1000,external,MS_Degree,N/A,5,5,,MS_Degree
"MS_CTQW(K=20,krylov_m30)",ext_mc_C1000-9,maximum_clique,60,208.605936,1152,60,0,0,FALSE,"[128, 643, 261, 6, 263, 776, 777, 525, 782, 527, 143, 147, 787, 275, 917, 789, 284, 542, 31, 800, 33, 549, 681, 425, 299, 553, 812, 305, 180, 438, 567, 311, 695, 955, 65, 70, 456, 203, 204, 461, 719, 977, 724, 340, 598, 344, 218, 861, 351, 869, 102, 617, 363, 747, 238, 623, 760, 368, 246, 504]",C1000-9,MS_CTQW_K20_krylov_m30,0,0,209.6239923,1000,external,MS_CTQW,krylov_m30,20,20,,MS_CTQW_krylov_m30
MS_Random(K=10),ext_mc_C1000-9,maximum_clique,64,103.9444136,576,64,0,0,FALSE,"[513, 130, 131, 769, 901, 393, 267, 396, 528, 912, 147, 663, 159, 289, 162, 37, 294, 678, 549, 555, 299, 43, 814, 812, 305, 946, 180, 820, 54, 311, 567, 185, 438, 699, 313, 575, 576, 65, 579, 837, 720, 721, 210, 724, 84, 598, 344, 987, 120, 482, 483, 611, 99, 103, 232, 617, 366, 495, 498, 627, 246, 376, 637, 383]",C1000-9,MS_Random_K10,1,1,104.9616603,1000,external,MS_Random,N/A,10,10,,MS_Random
MS_Degree(K=10),ext_mc_C1000-9,maximum_clique,60,105.2479483,580,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,MS_Degree_K10,1,1,106.3056188,1000,external,MS_Degree,N/A,10,10,,MS_Degree
"MS_CTQW(K=5,krylov_m30)",ext_mc_C1000-9,maximum_clique,60,52.56017023,290,60,0,0,FALSE,"[128, 643, 261, 6, 263, 776, 777, 525, 782, 527, 143, 147, 787, 275, 917, 789, 284, 542, 31, 800, 33, 549, 681, 425, 299, 553, 812, 305, 180, 438, 567, 311, 695, 955, 65, 70, 456, 203, 204, 461, 719, 977, 724, 340, 598, 344, 218, 861, 351, 869, 102, 617, 363, 747, 238, 623, 760, 368, 246, 504]",C1000-9,MS_CTQW_K5_krylov_m30,1,1,53.56924705,1000,external,MS_CTQW,krylov_m30,5,5,,MS_CTQW_krylov_m30
"MS_CTQW(K=20,cheb_d50)",ext_mc_C1000-9,maximum_clique,61,210.2325743,1152,61,0,0,FALSE,"[515, 260, 644, 652, 908, 655, 913, 401, 787, 915, 25, 283, 668, 928, 672, 674, 929, 37, 679, 552, 682, 683, 940, 689, 310, 950, 312, 185, 441, 58, 62, 832, 579, 836, 707, 454, 841, 330, 843, 586, 78, 206, 596, 856, 89, 218, 482, 611, 231, 105, 489, 491, 750, 627, 244, 117, 246, 629, 376, 755, 765]",C1000-9,MS_CTQW_K20_cheb_d50,0,0,211.3114538,1000,external,MS_CTQW,cheb_d50,20,20,,MS_CTQW_cheb_d50
"MS_CTQW(K=5,cheb_d50)",ext_mc_C1000-9,maximum_clique,60,53.18916554,290,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,MS_CTQW_K5_cheb_d50,1,1,54.24529936,1000,external,MS_CTQW,cheb_d50,5,5,,MS_CTQW_cheb_d50
