algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,T0,cooling_rate,t,lam,alpha,init_method,display_name
ClassicalClique,mc_n500_p005_k20_002,maximum_clique,20.0,0.1396331200012355,20,20,20,1.0,False,"[386, 388, 13, 145, 23, 413, 32, 44, 300, 310, 451, 329, 466, 216, 354, 239, 371, 246, 120, 381]",mc_n500_p005_k20,ClassicalClique,1,1,1.5594812179988367,500,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,mc_n500_p005_k20_002,maximum_clique,4.0,0.2525060690022656,2000,4,20,0.0,False,"[10, 84, 213, 247]",mc_n500_p005_k20,SimulatedAnnealing,1,1,1.5235445549988071,500,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(cheb_d50),mc_n500_p005_k20_002,maximum_clique,20.0,2.7943242479959736,19,20,20,1.0,False,"[386, 388, 13, 145, 23, 413, 32, 44, 300, 310, 451, 329, 466, 216, 354, 239, 371, 246, 120, 381]",mc_n500_p005_k20,QuantumGreedy_cheb_d50,0,0,5.001269970998692,500,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
QuantumGreedy(krylov_m30),mc_n500_p005_k20_002,maximum_clique,20.0,0.5965102249974734,19,20,20,1.0,False,"[386, 388, 13, 145, 23, 413, 32, 44, 300, 310, 451, 329, 466, 216, 354, 239, 371, 246, 120, 381]",mc_n500_p005_k20,QuantumGreedy_krylov_m30,1,1,1.6822409619999235,500,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalClique,mc_n500_p005_k20_003,maximum_clique,20.0,0.07876151300297352,20,20,20,1.0,False,"[258, 395, 141, 31, 417, 292, 45, 431, 51, 439, 70, 198, 330, 341, 349, 352, 359, 499, 118, 123]",mc_n500_p005_k20,ClassicalClique,0,0,0.8928806349940714,500,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
ClassicalDegree,mc_n500_p005_k20_003,maximum_clique,20.0,0.004404973995406181,20,20,20,1.0,False,"[258, 395, 141, 31, 417, 292, 45, 431, 51, 439, 198, 70, 330, 341, 349, 352, 359, 499, 118, 123]",mc_n500_p005_k20,ClassicalDegree,0,0,1.2461269020059262,500,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
SimulatedAnnealing,mc_n500_p005_k20_003,maximum_clique,4.0,0.3971528080001008,2000,4,20,0.1,False,"[417, 130, 51, 406]",mc_n500_p005_k20,SimulatedAnnealing,0,0,2.2794925649941433,500,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),mc_n500_p005_k20_003,maximum_clique,20.0,0.9788457079994259,19,20,20,1.0,False,"[258, 395, 141, 31, 417, 292, 45, 431, 51, 439, 198, 70, 330, 341, 349, 352, 359, 499, 118, 123]",mc_n500_p005_k20,QuantumGreedy_krylov_m30,0,0,2.1935074210050516,500,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,mc_n500_p005_k20_003,maximum_clique,20.0,0.006228031998034567,20,20,20,1.0,False,"[258, 395, 141, 31, 417, 292, 45, 431, 51, 439, 198, 70, 330, 341, 349, 352, 359, 499, 118, 123]",mc_n500_p005_k20,ClassicalDegree,1,1,1.2025622130022384,500,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,mc_n500_p005_k20_003,maximum_clique,20.0,0.10957928599964362,20,20,20,1.0,False,"[258, 395, 141, 31, 417, 292, 45, 431, 51, 439, 70, 198, 330, 341, 349, 352, 359, 499, 118, 123]",mc_n500_p005_k20,ClassicalClique,1,1,1.5743308029996115,500,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
QuantumGreedy(cheb_d50),mc_n500_p005_k20_002,maximum_clique,20.0,5.401221066000289,19,20,20,1.0,False,"[386, 388, 13, 145, 23, 413, 32, 44, 300, 310, 451, 329, 466, 216, 354, 239, 371, 246, 120, 381]",mc_n500_p005_k20,QuantumGreedy_cheb_d50,1,1,6.606755727996642,500,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
SimulatedAnnealing,mc_n500_p005_k20_003,maximum_clique,3.0,0.16525458300020546,2000,3,20,0.0,False,"[354, 332, 378]",mc_n500_p005_k20,SimulatedAnnealing,1,1,1.1603699100014637,500,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
