algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,K,n_seeds_tried,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,display_name
MS_Degree(K=30),mc_n300_p005_k20_002,maximum_clique,20.0,0.15521587900002487,401,20,20,1.0,False,"[256, 260, 137, 145, 275, 25, 156, 41, 297, 50, 178, 180, 188, 67, 214, 89, 93, 104, 111, 115]",30,30.0,mc_n300_p005_k20,MS_Degree_K30,1,1,2.04559323599824,300,external,MS_Degree,N/A,MS_Degree
"MS_CTQW(K=5,cheb_d50)",mc_n300_p005_k20_002,maximum_clique,20.0,0.7750457029978861,95,20,20,1.0,False,"[256, 260, 137, 145, 275, 25, 156, 41, 297, 50, 178, 180, 188, 67, 214, 89, 93, 104, 111, 115]",5,5.0,mc_n300_p005_k20,MS_CTQW_K5_cheb_d50,1,1,2.1455197800023598,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=30,krylov_m30)",mc_n300_p005_k20_002,maximum_clique,20.0,0.40191693900123937,400,20,20,1.0,False,"[256, 260, 137, 145, 275, 25, 156, 41, 297, 50, 178, 180, 188, 67, 214, 89, 93, 104, 111, 115]",30,30.0,mc_n300_p005_k20,MS_CTQW_K30_krylov_m30,1,1,1.9416151920013363,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=20,cheb_d50)",mc_n300_p005_k20_002,maximum_clique,20.0,0.9745257379981922,380,20,20,1.0,False,"[256, 260, 137, 145, 275, 25, 156, 41, 297, 50, 178, 180, 188, 67, 214, 89, 93, 104, 111, 115]",20,20.0,mc_n300_p005_k20,MS_CTQW_K20_cheb_d50,1,1,2.3558015110029373,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=10,cheb_d50)",mc_n300_p005_k20_002,maximum_clique,20.0,0.9743547559992294,190,20,20,1.0,False,"[256, 260, 137, 145, 275, 25, 156, 41, 297, 50, 178, 180, 188, 67, 214, 89, 93, 104, 111, 115]",10,10.0,mc_n300_p005_k20,MS_CTQW_K10_cheb_d50,1,1,2.749489118003112,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=20,krylov_m30)",mc_n300_p005_k20_002,maximum_clique,20.0,0.5520975570034352,380,20,20,1.0,False,"[256, 260, 137, 145, 275, 25, 156, 41, 297, 50, 178, 180, 188, 67, 214, 89, 93, 104, 111, 115]",20,20.0,mc_n300_p005_k20,MS_CTQW_K20_krylov_m30,1,1,2.6427644260038505,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=30,cheb_d50)",mc_n300_p005_k20_002,maximum_clique,20.0,0.6265135189969442,400,20,20,1.0,False,"[256, 260, 137, 145, 275, 25, 156, 41, 297, 50, 178, 180, 188, 67, 214, 89, 93, 104, 111, 115]",30,30.0,mc_n300_p005_k20,MS_CTQW_K30_cheb_d50,1,1,2.3590831129986327,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
ClassicalClique,mc_n300_p005_k20_003,maximum_clique,20.0,0.008519844006514177,20,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",0,,mc_n300_p005_k20,ClassicalClique,0,0,1.547574320997228,300,external,ClassicalClique,N/A,ClassicalClique
MS_Degree(K=5),mc_n300_p005_k20_003,maximum_clique,20.0,0.01882891500281403,95,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",5,5.0,mc_n300_p005_k20,MS_Degree_K5,0,0,1.4070547570008785,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=10),mc_n300_p005_k20_003,maximum_clique,20.0,0.013091319000523072,37,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",10,10.0,mc_n300_p005_k20,MS_Random_K10,0,0,1.2934917290040175,300,external,MS_Random,N/A,MS_Random
MS_Random(K=5),mc_n300_p005_k20_003,maximum_clique,3.0,0.006394353003997821,10,3,20,0.0,False,"[225, 189, 206]",5,5.0,mc_n300_p005_k20,MS_Random_K5,0,0,1.5899047079947195,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=10),mc_n300_p005_k20_003,maximum_clique,20.0,0.0556519780002418,190,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",10,10.0,mc_n300_p005_k20,MS_Degree_K10,0,0,1.290214027001639,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=20),mc_n300_p005_k20_003,maximum_clique,20.0,0.09034989000065252,58,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",20,20.0,mc_n300_p005_k20,MS_Random_K20,0,0,1.3704820979983197,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=30),mc_n300_p005_k20_003,maximum_clique,20.0,0.15486828500434058,404,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",30,30.0,mc_n300_p005_k20,MS_Degree_K30,0,0,1.3967424959992059,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=30),mc_n300_p005_k20_003,maximum_clique,20.0,0.11721282399958,79,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",30,30.0,mc_n300_p005_k20,MS_Random_K30,0,0,1.453376184006629,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=20),mc_n300_p005_k20_003,maximum_clique,20.0,0.14131196200469276,380,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",20,20.0,mc_n300_p005_k20,MS_Degree_K20,0,0,1.7269725480000488,300,external,MS_Degree,N/A,MS_Degree
"MS_CTQW(K=5,krylov_m30)",mc_n300_p005_k20_003,maximum_clique,20.0,0.10136297799908789,95,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",5,5.0,mc_n300_p005_k20,MS_CTQW_K5_krylov_m30,0,0,1.420960825002112,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=5,cheb_d50)",mc_n300_p005_k20_003,maximum_clique,20.0,0.5443675010028528,95,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",5,5.0,mc_n300_p005_k20,MS_CTQW_K5_cheb_d50,0,0,1.8295371479980531,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=10,krylov_m30)",mc_n300_p005_k20_003,maximum_clique,20.0,0.14400516799651086,190,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",10,10.0,mc_n300_p005_k20,MS_CTQW_K10_krylov_m30,0,0,1.5667893200006802,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=20,krylov_m30)",mc_n300_p005_k20_003,maximum_clique,20.0,0.2585319759964477,380,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",20,20.0,mc_n300_p005_k20,MS_CTQW_K20_krylov_m30,0,0,1.8095367310015718,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=10,cheb_d50)",mc_n300_p005_k20_003,maximum_clique,20.0,0.7692591459999676,190,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",10,10.0,mc_n300_p005_k20,MS_CTQW_K10_cheb_d50,0,0,2.2217806310000014,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=30,krylov_m30)",mc_n300_p005_k20_003,maximum_clique,20.0,0.35785075499734376,400,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",30,30.0,mc_n300_p005_k20,MS_CTQW_K30_krylov_m30,0,0,1.7880268490043818,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
ClassicalClique,mc_n300_p005_k20_003,maximum_clique,20.0,0.012327912001637742,20,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",0,,mc_n300_p005_k20,ClassicalClique,1,1,1.6628190760020516,300,external,ClassicalClique,N/A,ClassicalClique
"MS_CTQW(K=20,cheb_d50)",mc_n300_p005_k20_003,maximum_clique,20.0,1.034659939003177,380,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",20,20.0,mc_n300_p005_k20,MS_CTQW_K20_cheb_d50,0,0,3.2440949989977526,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=30,cheb_d50)",mc_n300_p005_k20_003,maximum_clique,20.0,0.8555168359962408,400,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",30,30.0,mc_n300_p005_k20,MS_CTQW_K30_cheb_d50,0,0,2.275053735997062,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
MS_Random(K=5),mc_n300_p005_k20_003,maximum_clique,4.0,0.004551315003482159,11,4,20,0.05,False,"[137, 34, 284, 289]",5,5.0,mc_n300_p005_k20,MS_Random_K5,1,1,1.7940529979969142,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=5),mc_n300_p005_k20_003,maximum_clique,20.0,0.03166316200076835,95,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",5,5.0,mc_n300_p005_k20,MS_Degree_K5,1,1,1.3482124690053752,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=10),mc_n300_p005_k20_003,maximum_clique,20.0,0.015685635000409093,40,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",10,10.0,mc_n300_p005_k20,MS_Random_K10,1,1,1.4089410259985016,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=10),mc_n300_p005_k20_003,maximum_clique,20.0,0.05856967600266216,190,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",10,10.0,mc_n300_p005_k20,MS_Degree_K10,1,1,1.427436467994994,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=20),mc_n300_p005_k20_003,maximum_clique,20.0,0.09205898600339424,78,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",20,20.0,mc_n300_p005_k20,MS_Random_K20,1,1,1.4328233510022983,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=20),mc_n300_p005_k20_003,maximum_clique,20.0,0.1537750240022433,380,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",20,20.0,mc_n300_p005_k20,MS_Degree_K20,1,1,1.3645400180030265,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=30),mc_n300_p005_k20_003,maximum_clique,20.0,0.14462496399937663,81,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",30,30.0,mc_n300_p005_k20,MS_Random_K30,1,1,1.537795014999574,300,external,MS_Random,N/A,MS_Random
"MS_CTQW(K=5,krylov_m30)",mc_n300_p005_k20_003,maximum_clique,20.0,0.09571534299902851,95,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",5,5.0,mc_n300_p005_k20,MS_CTQW_K5_krylov_m30,1,1,1.3733639650017722,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
MS_Degree(K=30),mc_n300_p005_k20_003,maximum_clique,20.0,0.27289045700308634,404,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",30,30.0,mc_n300_p005_k20,MS_Degree_K30,1,1,1.7615618290001294,300,external,MS_Degree,N/A,MS_Degree
"MS_CTQW(K=5,cheb_d50)",mc_n300_p005_k20_003,maximum_clique,20.0,0.6146881829990889,95,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",5,5.0,mc_n300_p005_k20,MS_CTQW_K5_cheb_d50,1,1,1.8749656459986,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=10,krylov_m30)",mc_n300_p005_k20_003,maximum_clique,20.0,0.1021963559978758,190,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",10,10.0,mc_n300_p005_k20,MS_CTQW_K10_krylov_m30,1,1,1.9251159400009783,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=20,krylov_m30)",mc_n300_p005_k20_003,maximum_clique,20.0,0.2772310899963486,380,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",20,20.0,mc_n300_p005_k20,MS_CTQW_K20_krylov_m30,1,1,2.0942129749964806,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=10,cheb_d50)",mc_n300_p005_k20_003,maximum_clique,20.0,0.8593102930026362,190,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",10,10.0,mc_n300_p005_k20,MS_CTQW_K10_cheb_d50,1,1,2.683884810998279,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=20,cheb_d50)",mc_n300_p005_k20_003,maximum_clique,20.0,0.7800715620032861,380,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",20,20.0,mc_n300_p005_k20,MS_CTQW_K20_cheb_d50,1,1,2.2160475139971823,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=30,krylov_m30)",mc_n300_p005_k20_003,maximum_clique,20.0,0.24569236000388628,400,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",30,30.0,mc_n300_p005_k20,MS_CTQW_K30_krylov_m30,1,1,1.9382466589959222,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=30,cheb_d50)",mc_n300_p005_k20_003,maximum_clique,20.0,0.6621185010008048,400,20,20,1.0,False,"[258, 3, 142, 144, 19, 149, 29, 159, 288, 289, 290, 298, 59, 65, 75, 216, 219, 115, 245, 250]",30,30.0,mc_n300_p005_k20,MS_CTQW_K30_cheb_d50,1,1,2.618554328000755,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
ClassicalClique,mc_n300_p005_k20_004,maximum_clique,20.0,0.008537593996152282,20,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",0,,mc_n300_p005_k20,ClassicalClique,0,0,1.5878557679970982,300,external,ClassicalClique,N/A,ClassicalClique
MS_Random(K=5),mc_n300_p005_k20_004,maximum_clique,3.0,0.0043974030049867,10,3,20,0.0,False,"[209, 3, 189]",5,5.0,mc_n300_p005_k20,MS_Random_K5,0,0,1.4198947539989604,300,external,MS_Random,N/A,MS_Random
MS_Random(K=10),mc_n300_p005_k20_004,maximum_clique,20.0,0.010424233005323913,37,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",10,10.0,mc_n300_p005_k20,MS_Random_K10,0,0,1.2628626670048106,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=5),mc_n300_p005_k20_004,maximum_clique,20.0,0.029620361994602717,95,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",5,5.0,mc_n300_p005_k20,MS_Degree_K5,0,0,1.4396416379968286,300,external,MS_Degree,N/A,MS_Degree
MS_Degree(K=10),mc_n300_p005_k20_004,maximum_clique,20.0,0.0583410340041155,190,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",10,10.0,mc_n300_p005_k20,MS_Degree_K10,0,0,1.3679443919972982,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=20),mc_n300_p005_k20_004,maximum_clique,20.0,0.1245745169944712,60,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",20,20.0,mc_n300_p005_k20,MS_Random_K20,0,0,1.5068569099967135,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=20),mc_n300_p005_k20_004,maximum_clique,20.0,0.1474775319948094,363,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",20,20.0,mc_n300_p005_k20,MS_Degree_K20,0,0,1.425145416003943,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=30),mc_n300_p005_k20_004,maximum_clique,20.0,0.106711380998604,109,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",30,30.0,mc_n300_p005_k20,MS_Random_K30,0,0,1.4923147169974982,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=30),mc_n300_p005_k20_004,maximum_clique,20.0,0.21732860000338405,401,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",30,30.0,mc_n300_p005_k20,MS_Degree_K30,0,0,1.6795549410016974,300,external,MS_Degree,N/A,MS_Degree
"MS_CTQW(K=5,krylov_m30)",mc_n300_p005_k20_004,maximum_clique,20.0,0.1028966230005608,95,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",5,5.0,mc_n300_p005_k20,MS_CTQW_K5_krylov_m30,0,0,1.4681332289983402,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=10,krylov_m30)",mc_n300_p005_k20_004,maximum_clique,20.0,0.17715685500297695,190,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",10,10.0,mc_n300_p005_k20,MS_CTQW_K10_krylov_m30,0,0,1.4148684650062933,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=5,cheb_d50)",mc_n300_p005_k20_004,maximum_clique,20.0,0.5340288699953817,95,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",5,5.0,mc_n300_p005_k20,MS_CTQW_K5_cheb_d50,0,0,2.2236196489975555,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=10,cheb_d50)",mc_n300_p005_k20_004,maximum_clique,20.0,0.9798657310020644,190,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",10,10.0,mc_n300_p005_k20,MS_CTQW_K10_cheb_d50,0,0,2.58580683600303,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=20,krylov_m30)",mc_n300_p005_k20_004,maximum_clique,20.0,0.48995474500407,380,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",20,20.0,mc_n300_p005_k20,MS_CTQW_K20_krylov_m30,0,0,2.7263922299971455,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=30,krylov_m30)",mc_n300_p005_k20_004,maximum_clique,20.0,0.24015242500172462,400,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",30,30.0,mc_n300_p005_k20,MS_CTQW_K30_krylov_m30,0,0,2.060225189998164,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=20,cheb_d50)",mc_n300_p005_k20_004,maximum_clique,20.0,0.641583939002885,380,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",20,20.0,mc_n300_p005_k20,MS_CTQW_K20_cheb_d50,0,0,3.249577203001536,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=30,cheb_d50)",mc_n300_p005_k20_004,maximum_clique,20.0,0.4857700240027043,400,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",30,30.0,mc_n300_p005_k20,MS_CTQW_K30_cheb_d50,0,0,2.343796402994485,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
ClassicalClique,mc_n300_p005_k20_004,maximum_clique,20.0,0.01799528799892869,20,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",0,,mc_n300_p005_k20,ClassicalClique,1,1,1.849949398994795,300,external,ClassicalClique,N/A,ClassicalClique
MS_Degree(K=5),mc_n300_p005_k20_004,maximum_clique,20.0,0.027637122002488468,95,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",5,5.0,mc_n300_p005_k20,MS_Degree_K5,1,1,1.417848834003962,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=5),mc_n300_p005_k20_004,maximum_clique,20.0,0.01807051799551118,27,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",5,5.0,mc_n300_p005_k20,MS_Random_K5,1,1,1.8688847759985947,300,external,MS_Random,N/A,MS_Random
MS_Random(K=10),mc_n300_p005_k20_004,maximum_clique,20.0,0.02912211700459011,39,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",10,10.0,mc_n300_p005_k20,MS_Random_K10,1,1,1.43111615399539,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=10),mc_n300_p005_k20_004,maximum_clique,20.0,0.03531976800150005,190,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",10,10.0,mc_n300_p005_k20,MS_Degree_K10,1,1,1.5216741659969557,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=20),mc_n300_p005_k20_004,maximum_clique,20.0,0.11277638100000331,74,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",20,20.0,mc_n300_p005_k20,MS_Random_K20,1,1,1.5316675740032224,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=20),mc_n300_p005_k20_004,maximum_clique,20.0,0.20042110299982596,363,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",20,20.0,mc_n300_p005_k20,MS_Degree_K20,1,1,1.677773633004108,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=30),mc_n300_p005_k20_004,maximum_clique,20.0,0.12194159100181423,116,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",30,30.0,mc_n300_p005_k20,MS_Random_K30,1,1,1.635469696004293,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=30),mc_n300_p005_k20_004,maximum_clique,20.0,0.2014565040008165,401,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",30,30.0,mc_n300_p005_k20,MS_Degree_K30,1,1,1.491087404996506,300,external,MS_Degree,N/A,MS_Degree
"MS_CTQW(K=5,krylov_m30)",mc_n300_p005_k20_004,maximum_clique,20.0,0.07851281299372204,95,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",5,5.0,mc_n300_p005_k20,MS_CTQW_K5_krylov_m30,1,1,1.281771463000041,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=5,cheb_d50)",mc_n300_p005_k20_004,maximum_clique,20.0,0.59433088300284,95,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",5,5.0,mc_n300_p005_k20,MS_CTQW_K5_cheb_d50,1,1,2.6850754439947195,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=20,krylov_m30)",mc_n300_p005_k20_004,maximum_clique,20.0,0.3203581449997728,380,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",20,20.0,mc_n300_p005_k20,MS_CTQW_K20_krylov_m30,1,1,1.7098022589998436,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=10,krylov_m30)",mc_n300_p005_k20_004,maximum_clique,20.0,0.31145285700040404,190,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",10,10.0,mc_n300_p005_k20,MS_CTQW_K10_krylov_m30,1,1,2.9146622339976602,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=10,cheb_d50)",mc_n300_p005_k20_004,maximum_clique,20.0,1.1111457730003167,190,20,20,1.0,False,"[263, 10, 146, 24, 163, 164, 166, 40, 51, 52, 54, 194, 68, 213, 86, 97, 98, 238, 239, 114]",10,10.0,mc_n300_p005_k20,MS_CTQW_K10_cheb_d50,1,1,2.9581094719978864,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
