algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,T0,cooling_rate,t,lam,alpha,init_method,display_name
SimulatedAnnealing,ext_mc_C250-9,maximum_clique,40.0,0.5978465709995362,2000,40,0,0.0,False,"[2, 5, 7, 137, 143, 19, 148, 149, 152, 160, 34, 40, 42, 45, 47, 182, 183, 57, 185, 186, 63, 65, 68, 197, 198, 201, 203, 206, 83, 84, 214, 220, 96, 227, 101, 240, 242, 115, 118, 125]",C250-9,SimulatedAnnealing,2,2,4.080916740000248,250,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(cheb_d50),ext_mc_C1000-9,maximum_clique,52.0,96.21843681600149,51,52,0,0.0,False,"[512, 897, 513, 776, 137, 650, 652, 397, 528, 529, 273, 409, 26, 284, 30, 418, 547, 676, 166, 181, 309, 55, 313, 700, 60, 62, 959, 703, 962, 195, 199, 328, 459, 590, 465, 854, 218, 475, 986, 93, 612, 746, 874, 237, 627, 756, 885, 633, 762, 379, 765, 894]",C1000-9,QuantumGreedy_cheb_d50,1,1,99.56455950199597,1000,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalDegree,ext_mc_gen200-p0-9-44,maximum_clique,32.0,0.017787653996492736,32,32,0,0.0,False,"[1, 132, 135, 136, 139, 142, 14, 144, 18, 22, 26, 161, 173, 48, 49, 176, 51, 178, 58, 60, 64, 68, 198, 71, 74, 78, 85, 87, 90, 98, 103, 125]",gen200-p0-9-44,ClassicalDegree,0,0,2.3105384329974186,200,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
QuantumGreedy(krylov_m30),ext_mc_C250-9,maximum_clique,34.0,2.1142451589985285,33,34,0,0.0,False,"[0, 128, 7, 143, 16, 149, 25, 27, 35, 44, 45, 52, 53, 182, 188, 190, 193, 194, 197, 75, 204, 82, 85, 213, 215, 94, 229, 101, 233, 239, 116, 117, 121, 124]",C250-9,QuantumGreedy_krylov_m30,2,2,5.944229977998475,250,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
SimulatedAnnealing,ext_mc_gen200-p0-9-44,maximum_clique,35.0,0.17887214299844345,2000,35,0,0.0,False,"[0, 1, 134, 135, 6, 138, 14, 143, 144, 18, 149, 22, 26, 159, 34, 37, 172, 174, 176, 49, 56, 57, 60, 69, 198, 71, 74, 77, 83, 85, 95, 98, 99, 103, 117]",gen200-p0-9-44,SimulatedAnnealing,0,0,2.1039376270055072,200,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
ClassicalClique,ext_mc_gen200-p0-9-44,maximum_clique,35.0,0.4206155240026419,35,35,0,0.0,False,"[128, 1, 2, 132, 137, 139, 14, 15, 16, 18, 22, 24, 25, 26, 160, 162, 165, 43, 173, 48, 49, 177, 51, 176, 66, 68, 69, 198, 73, 74, 75, 85, 87, 124, 125]",gen200-p0-9-44,ClassicalClique,0,0,2.3702812289993744,200,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
QuantumGreedy(krylov_m30),ext_mc_gen200-p0-9-44,maximum_clique,33.0,3.664612209002371,32,33,0,0.0,False,"[1, 132, 15, 16, 18, 22, 24, 25, 26, 155, 44, 172, 47, 177, 50, 51, 49, 52, 55, 57, 189, 68, 69, 74, 75, 78, 87, 105, 112, 116, 117, 124, 125]",gen200-p0-9-44,QuantumGreedy_krylov_m30,0,0,8.561342097003944,200,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
QuantumGreedy(cheb_d50),ext_mc_C250-9,maximum_clique,33.0,36.41943402199831,32,33,0,0.0,False,"[6, 135, 8, 137, 16, 144, 149, 25, 28, 34, 36, 42, 44, 179, 58, 59, 63, 64, 66, 195, 197, 73, 83, 85, 88, 217, 222, 227, 233, 107, 114, 124, 126]",C250-9,QuantumGreedy_cheb_d50,1,1,38.44236115600506,250,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalDegree,ext_mc_gen200-p0-9-44,maximum_clique,32.0,0.03697484299482312,32,32,0,0.0,False,"[1, 132, 135, 136, 139, 142, 14, 144, 18, 22, 26, 161, 173, 48, 49, 176, 51, 178, 58, 60, 64, 68, 198, 71, 74, 78, 85, 87, 90, 98, 103, 125]",gen200-p0-9-44,ClassicalDegree,1,1,4.007467319999705,200,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,ext_mc_gen200-p0-9-44,maximum_clique,35.0,0.37970698199933395,35,35,0,0.0,False,"[128, 1, 2, 132, 137, 139, 14, 15, 16, 18, 22, 24, 25, 26, 160, 162, 165, 43, 173, 48, 49, 177, 51, 176, 66, 68, 69, 198, 73, 74, 75, 85, 87, 124, 125]",gen200-p0-9-44,ClassicalClique,1,1,2.8195742039970355,200,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,ext_mc_gen200-p0-9-44,maximum_clique,33.0,0.21929141000146046,2000,33,0,0.0,False,"[3, 135, 8, 136, 9, 16, 18, 146, 149, 151, 153, 28, 158, 159, 164, 166, 168, 41, 44, 175, 48, 51, 58, 59, 195, 196, 71, 73, 81, 98, 100, 101, 124]",gen200-p0-9-44,SimulatedAnnealing,1,1,1.7388118270027917,200,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),ext_mc_gen200-p0-9-44,maximum_clique,33.0,3.0370141950043035,32,33,0,0.0,False,"[1, 132, 15, 16, 18, 22, 24, 25, 26, 155, 44, 172, 47, 177, 50, 51, 49, 52, 55, 57, 189, 68, 69, 74, 75, 78, 87, 105, 112, 116, 117, 124, 125]",gen200-p0-9-44,QuantumGreedy_krylov_m30,1,1,8.441374401998473,200,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,ext_mc_gen200-p0-9-44,maximum_clique,32.0,0.01812484800029779,32,32,0,0.0,False,"[1, 132, 135, 136, 139, 142, 14, 144, 18, 22, 26, 161, 173, 48, 49, 176, 51, 178, 58, 60, 64, 68, 198, 71, 74, 78, 85, 87, 90, 98, 103, 125]",gen200-p0-9-44,ClassicalDegree,2,2,2.717154218997166,200,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,ext_mc_gen200-p0-9-44,maximum_clique,35.0,0.9172031120033353,35,35,0,0.0,False,"[128, 1, 2, 132, 137, 139, 14, 15, 16, 18, 22, 24, 25, 26, 160, 162, 165, 43, 173, 48, 49, 177, 51, 176, 66, 68, 69, 198, 73, 74, 75, 85, 87, 124, 125]",gen200-p0-9-44,ClassicalClique,2,2,7.069008076003229,200,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
