algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,K,n_seeds_tried,ctqw_seed_reused,beta,display_name
"MS_HybridSeed(K=5,beta=0.75,cheb_d50)",ext_mc_C250-9,maximum_clique,42.0,0.8907680000011169,192,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_HybridSeed_K5_b0p75_cheb_d50,0,0,3.979718899998261,250,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
"MS_HybridSeed(K=10,beta=0.25,cheb_d50)",ext_mc_C250-9,maximum_clique,42.0,1.8387588000005053,395,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_HybridSeed_K10_b0p25_cheb_d50,0,0,4.954136899999867,250,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=10,beta=0.5,cheb_d50)",ext_mc_C250-9,maximum_clique,42.0,1.8135065999995277,389,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_HybridSeed_K10_b0p5_cheb_d50,0,0,4.915701699999772,250,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=10,beta=0.75,cheb_d50)",ext_mc_C250-9,maximum_clique,42.0,1.8417095000004338,389,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_HybridSeed_K10_b0p75_cheb_d50,0,0,4.923596600001474,250,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
"MS_HybridSeed(K=20,beta=0.25,cheb_d50)",ext_mc_C250-9,maximum_clique,42.0,3.690513000001374,783,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_HybridSeed_K20_b0p25_cheb_d50,0,0,6.798775299997942,250,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=20,beta=0.5,cheb_d50)",ext_mc_C250-9,maximum_clique,42.0,3.6895618999988073,785,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_HybridSeed_K20_b0p5_cheb_d50,0,0,6.806812999999238,250,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=20,beta=0.75,cheb_d50)",ext_mc_C250-9,maximum_clique,42.0,3.6820796000029077,788,42,0,0.0,False,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_HybridSeed_K20_b0p75_cheb_d50,0,0,6.801222899997811,250,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
ClassicalClique,ext_mc_gen200-p0-9-44,maximum_clique,35.0,0.10998359999939566,35,35,0,0.0,False,"[128, 1, 2, 132, 137, 139, 14, 15, 16, 18, 22, 24, 25, 26, 160, 162, 165, 43, 173, 48, 49, 177, 51, 176, 66, 68, 69, 198, 73, 74, 75, 85, 87, 124, 125]",gen200-p0-9-44,ClassicalClique,0,0,3.209829499999614,200,external,ClassicalClique,N/A,0,,,,ClassicalClique
MS_Random(K=5),ext_mc_gen200-p0-9-44,maximum_clique,38.0,0.5076716999974451,177,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_Random_K5,0,0,3.642912899998919,200,external,MS_Random,N/A,5,5.0,,,MS_Random
MS_Degree(K=5),ext_mc_gen200-p0-9-44,maximum_clique,38.0,0.4916389000027266,174,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_Degree_K5,0,0,3.6362169999993057,200,external,MS_Degree,N/A,5,5.0,,,MS_Degree
MS_Random(K=10),ext_mc_gen200-p0-9-44,maximum_clique,37.0,0.984295000002021,354,37,0,0.0,False,"[1, 2, 132, 4, 136, 137, 140, 142, 15, 144, 143, 18, 20, 22, 24, 26, 162, 38, 172, 173, 48, 49, 177, 51, 176, 184, 68, 69, 198, 74, 85, 87, 94, 103, 116, 124, 125]",gen200-p0-9-44,MS_Random_K10,0,0,4.088935899999342,200,external,MS_Random,N/A,10,10.0,,,MS_Random
MS_Degree(K=10),ext_mc_gen200-p0-9-44,maximum_clique,38.0,1.0237995999996201,352,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_Degree_K10,0,0,4.193055700001423,200,external,MS_Degree,N/A,10,10.0,,,MS_Degree
MS_Random(K=20),ext_mc_gen200-p0-9-44,maximum_clique,38.0,1.9154804999998305,707,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_Random_K20,0,0,5.054698700001609,200,external,MS_Random,N/A,20,20.0,,,MS_Random
MS_Degree(K=20),ext_mc_gen200-p0-9-44,maximum_clique,38.0,1.9781784000006155,704,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_Degree_K20,0,0,5.057889699997759,200,external,MS_Degree,N/A,20,20.0,,,MS_Degree
