alpha,n,n_pairs,wins,ties,losses,win_rate,tie_rate,loss_rate
0.0,100,180,0,180,0,0.0,1.0,0.0
0.0,150,120,0,120,0,0.0,1.0,0.0
0.0,200,120,0,120,0,0.0,1.0,0.0
0.5,100,180,8,136,36,0.044444444444444446,0.7555555555555555,0.2
0.5,150,120,0,88,32,0.0,0.7333333333333333,0.26666666666666666
0.5,200,120,0,112,8,0.0,0.9333333333333333,0.06666666666666667
1.0,100,180,4,76,100,0.022222222222222223,0.4222222222222222,0.5555555555555556
1.0,150,120,0,32,88,0.0,0.26666666666666666,0.7333333333333333
1.0,200,120,0,40,80,0.0,0.3333333333333333,0.6666666666666666
