mode,family,display_name,runs,samples,mean_objective,median_objective,std_objective,median_wall_time,p95_wall_time,timeout_rate
external,MS_CTQW,MS_CTQW_cheb_d50,90,30,14.622222222222222,15.0,3.7999934292603696,3.259967500001949,4.036416579999423,0.0
external,MS_HybridSeed,MS_HybridSeed_b0.75_cheb_d50,90,30,14.522222222222222,15.0,3.7152215829929407,3.279718600000706,4.000629429999208,0.0
external,MS_Degree,MS_Degree,90,30,14.5,15.0,3.6757633159734575,3.285673050000696,4.054175270001179,0.0
external,MS_HybridSeed,MS_HybridSeed_b0.5_cheb_d50,90,30,14.5,15.0,3.687970118575476,3.285709900001166,4.074546764999286,0.0
external,MS_HybridSeed,MS_HybridSeed_b0.25_cheb_d50,90,30,14.488888888888889,15.0,3.687953192701955,3.253123200001937,4.070585994998874,0.0
external,MS_Random,MS_Random,90,30,13.855555555555556,15.0,4.244126439969941,3.228421249999883,3.7221982199997,0.0
external,ClassicalClique,ClassicalClique,30,30,12.433333333333334,13.0,4.7320137386728405,3.2544376500009093,3.6230963000009067,0.0
