algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,K,n_seeds_tried,ctqw_seed_reused,beta,display_name
MS_Random(K=20),mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.0185917999988305,78,10,10,0.9,False,"[39, 41, 75, 76, 13, 86, 88, 59, 61, 62]",mc_mislead_n100_p01_k10,MS_Random_K20,0,0,3.058420199999091,100,external,MS_Random,,20,20.0,,,MS_Random
MS_Degree(K=20),mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.0264999999999417,122,10,10,0.9,False,"[39, 76, 13, 51, 61, 86, 88, 59, 29, 62]",mc_mislead_n100_p01_k10,MS_Degree_K20,0,0,3.1901983999996446,100,external,MS_Degree,,20,20.0,,,MS_Degree
"MS_CTQW(K=5,cheb_d50)",mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.0093314999976428,30,10,10,0.9,False,"[39, 41, 75, 76, 13, 86, 88, 59, 61, 62]",mc_mislead_n100_p01_k10,MS_CTQW_K5_cheb_d50,0,0,3.221645599998737,100,external,MS_CTQW,cheb_d50,5,5.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=10,cheb_d50)",mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.015409700001328,61,10,10,0.9,False,"[39, 41, 75, 76, 13, 86, 88, 59, 61, 62]",mc_mislead_n100_p01_k10,MS_CTQW_K10_cheb_d50,0,0,3.1554665000003297,100,external,MS_CTQW,cheb_d50,10,10.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=20,cheb_d50)",mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.0271748999984993,122,10,10,0.9,False,"[39, 41, 75, 76, 13, 86, 88, 59, 61, 62]",mc_mislead_n100_p01_k10,MS_CTQW_K20_cheb_d50,0,0,3.0811561999980768,100,external,MS_CTQW,cheb_d50,20,20.0,True,,MS_CTQW_cheb_d50
"MS_HybridSeed(K=5,beta=0.25,cheb_d50)",mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.0094423000009555,35,10,10,0.9,False,"[39, 76, 13, 51, 61, 86, 88, 59, 29, 62]",mc_mislead_n100_p01_k10,MS_HybridSeed_K5_b0p25_cheb_d50,0,0,3.218346899997414,100,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=5,beta=0.5,cheb_d50)",mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.0094262000020535,32,10,10,0.9,False,"[39, 41, 75, 76, 13, 86, 88, 59, 61, 62]",mc_mislead_n100_p01_k10,MS_HybridSeed_K5_b0p5_cheb_d50,0,0,3.31141690000004,100,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=5,beta=0.75,cheb_d50)",mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.0091544000024441,32,10,10,0.9,False,"[39, 41, 75, 76, 13, 86, 88, 59, 61, 62]",mc_mislead_n100_p01_k10,MS_HybridSeed_K5_b0p75_cheb_d50,0,0,3.200241200000164,100,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
"MS_HybridSeed(K=10,beta=0.25,cheb_d50)",mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.015862800002651,61,10,10,0.9,False,"[39, 76, 13, 51, 61, 86, 88, 59, 29, 62]",mc_mislead_n100_p01_k10,MS_HybridSeed_K10_b0p25_cheb_d50,0,0,3.2362466999984463,100,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=10,beta=0.5,cheb_d50)",mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.0153467000018281,61,10,10,0.9,False,"[39, 41, 75, 76, 13, 86, 88, 59, 61, 62]",mc_mislead_n100_p01_k10,MS_HybridSeed_K10_b0p5_cheb_d50,0,0,3.3211836999980733,100,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=10,beta=0.75,cheb_d50)",mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.0150142000020423,61,10,10,0.9,False,"[39, 41, 75, 76, 13, 86, 88, 59, 61, 62]",mc_mislead_n100_p01_k10,MS_HybridSeed_K10_b0p75_cheb_d50,0,0,3.2757459999993443,100,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
"MS_HybridSeed(K=20,beta=0.25,cheb_d50)",mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.0272250999987591,122,10,10,0.9,False,"[39, 76, 13, 51, 61, 86, 88, 59, 29, 62]",mc_mislead_n100_p01_k10,MS_HybridSeed_K20_b0p25_cheb_d50,0,0,3.1305045999979484,100,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=20,beta=0.5,cheb_d50)",mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.0273407000022416,122,10,10,0.9,False,"[39, 41, 75, 76, 13, 86, 88, 59, 61, 62]",mc_mislead_n100_p01_k10,MS_HybridSeed_K20_b0p5_cheb_d50,0,0,3.240534900000057,100,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=20,beta=0.75,cheb_d50)",mc_mislead_n100_p01_k10_003,maximum_clique,10.0,0.0278426000004401,122,10,10,0.9,False,"[39, 41, 75, 76, 13, 86, 88, 59, 61, 62]",mc_mislead_n100_p01_k10,MS_HybridSeed_K20_b0p75_cheb_d50,0,0,3.364395799999329,100,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
ClassicalClique,mc_mislead_n100_p01_k10_004,maximum_clique,7.0,0.0062514000019291,7,7,10,0.6,False,"[33, 38, 71, 73, 56, 89, 30]",mc_mislead_n100_p01_k10,ClassicalClique,0,0,3.4716091999980563,100,external,ClassicalClique,,0,,,,ClassicalClique
MS_Random(K=5),mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0074400000012246,25,10,10,0.9,False,"[68, 38, 71, 73, 44, 16, 51, 56, 89, 30]",mc_mislead_n100_p01_k10,MS_Random_K5,0,0,3.5493277000023227,100,external,MS_Random,,5,5.0,,,MS_Random
MS_Degree(K=5),mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0102424999968206,36,10,10,0.9,False,"[68, 38, 71, 73, 16, 51, 23, 56, 89, 95]",mc_mislead_n100_p01_k10,MS_Degree_K5,0,0,3.468172699998832,100,external,MS_Degree,,5,5.0,,,MS_Degree
MS_Random(K=10),mc_mislead_n100_p01_k10_004,maximum_clique,8.0,0.0092069999991508,33,8,10,0.7,False,"[68, 71, 73, 77, 16, 51, 56, 95]",mc_mislead_n100_p01_k10,MS_Random_K10,0,0,3.1949074000003748,100,external,MS_Random,,10,10.0,,,MS_Random
MS_Degree(K=10),mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0175615999978617,72,10,10,0.9,False,"[68, 38, 71, 73, 16, 51, 23, 56, 89, 95]",mc_mislead_n100_p01_k10,MS_Degree_K10,0,0,3.103651700002956,100,external,MS_Degree,,10,10.0,,,MS_Degree
MS_Random(K=20),mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0188712000017403,78,10,10,1.0,False,"[68, 38, 71, 73, 16, 51, 56, 89, 30, 95]",mc_mislead_n100_p01_k10,MS_Random_K20,0,0,3.0658025999982783,100,external,MS_Random,,20,20.0,,,MS_Random
MS_Degree(K=20),mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0310275999981968,136,10,10,0.9,False,"[68, 38, 71, 73, 16, 51, 23, 56, 89, 95]",mc_mislead_n100_p01_k10,MS_Degree_K20,0,0,3.252001400000154,100,external,MS_Degree,,20,20.0,,,MS_Degree
"MS_CTQW(K=5,cheb_d50)",mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0094957000001159,39,10,10,1.0,False,"[68, 38, 71, 73, 16, 51, 56, 89, 30, 95]",mc_mislead_n100_p01_k10,MS_CTQW_K5_cheb_d50,0,0,3.464046100001724,100,external,MS_CTQW,cheb_d50,5,5.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=10,cheb_d50)",mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0169783000019378,77,10,10,1.0,False,"[68, 38, 71, 73, 16, 51, 56, 89, 30, 95]",mc_mislead_n100_p01_k10,MS_CTQW_K10_cheb_d50,0,0,3.139059499997529,100,external,MS_CTQW,cheb_d50,10,10.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=20,cheb_d50)",mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0284982999983185,136,10,10,1.0,False,"[68, 38, 71, 73, 16, 51, 56, 89, 30, 95]",mc_mislead_n100_p01_k10,MS_CTQW_K20_cheb_d50,0,0,3.1519019000006665,100,external,MS_CTQW,cheb_d50,20,20.0,True,,MS_CTQW_cheb_d50
"MS_HybridSeed(K=5,beta=0.25,cheb_d50)",mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0093993000009504,36,10,10,0.9,False,"[68, 38, 71, 73, 16, 51, 23, 56, 89, 95]",mc_mislead_n100_p01_k10,MS_HybridSeed_K5_b0p25_cheb_d50,0,0,3.087396800001443,100,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=5,beta=0.5,cheb_d50)",mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0092361999995773,37,10,10,0.9,False,"[68, 38, 71, 73, 16, 51, 23, 56, 89, 95]",mc_mislead_n100_p01_k10,MS_HybridSeed_K5_b0p5_cheb_d50,0,0,3.0890295000026526,100,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=5,beta=0.75,cheb_d50)",mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0097008000011555,39,10,10,0.9,False,"[68, 38, 71, 73, 44, 16, 51, 56, 89, 30]",mc_mislead_n100_p01_k10,MS_HybridSeed_K5_b0p75_cheb_d50,0,0,3.1307283000023745,100,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
"MS_HybridSeed(K=10,beta=0.25,cheb_d50)",mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0160624000018287,73,10,10,0.9,False,"[68, 38, 71, 73, 16, 51, 23, 56, 89, 95]",mc_mislead_n100_p01_k10,MS_HybridSeed_K10_b0p25_cheb_d50,0,0,3.0886647999977868,100,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=10,beta=0.5,cheb_d50)",mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0160706999995454,73,10,10,0.9,False,"[68, 38, 71, 73, 16, 51, 23, 56, 89, 95]",mc_mislead_n100_p01_k10,MS_HybridSeed_K10_b0p5_cheb_d50,0,0,3.085050899997441,100,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=10,beta=0.75,cheb_d50)",mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0170963999989908,77,10,10,0.9,False,"[68, 38, 71, 73, 44, 16, 51, 56, 89, 30]",mc_mislead_n100_p01_k10,MS_HybridSeed_K10_b0p75_cheb_d50,0,0,3.084291499999381,100,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
"MS_HybridSeed(K=20,beta=0.25,cheb_d50)",mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0302888000005623,136,10,10,0.9,False,"[68, 38, 71, 73, 16, 51, 23, 56, 89, 95]",mc_mislead_n100_p01_k10,MS_HybridSeed_K20_b0p25_cheb_d50,0,0,3.086253900000884,100,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=20,beta=0.5,cheb_d50)",mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0307222000010369,143,10,10,0.9,False,"[68, 38, 71, 73, 16, 51, 23, 56, 89, 95]",mc_mislead_n100_p01_k10,MS_HybridSeed_K20_b0p5_cheb_d50,0,0,3.0802660000008477,100,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=20,beta=0.75,cheb_d50)",mc_mislead_n100_p01_k10_004,maximum_clique,10.0,0.0288656000011542,135,10,10,0.9,False,"[68, 38, 71, 73, 44, 16, 51, 56, 89, 30]",mc_mislead_n100_p01_k10,MS_HybridSeed_K20_b0p75_cheb_d50,0,0,3.1104727999991155,100,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
ClassicalClique,mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.0175861999996413,15,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,ClassicalClique,0,0,3.060946800000238,200,external,ClassicalClique,,0,,,,ClassicalClique
MS_Random(K=5),mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.0222790999978315,24,15,16,0.875,False,"[128, 69, 135, 199, 40, 108, 79, 80, 17, 115, 150, 120, 89, 188, 61]",mc_mislead_n200_p005_k16,MS_Random_K5,0,0,3.1185227000023588,200,external,MS_Random,,5,5.0,,,MS_Random
MS_Degree(K=5),mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.0526864000021305,64,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_Degree_K5,0,0,3.1504523000003246,200,external,MS_Degree,,5,5.0,,,MS_Degree
MS_Random(K=10),mc_mislead_n200_p005_k16_000,maximum_clique,16.0,0.0594439999986207,70,16,16,1.0,False,"[128, 99, 69, 135, 40, 199, 108, 79, 80, 17, 115, 83, 150, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_Random_K10,0,0,3.12276760000168,200,external,MS_Random,,10,10.0,,,MS_Random
MS_Degree(K=10),mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.0987933999967936,124,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_Degree_K10,0,0,3.154263299999002,200,external,MS_Degree,,10,10.0,,,MS_Degree
MS_Random(K=20),mc_mislead_n200_p005_k16_000,maximum_clique,16.0,0.0851086999973631,90,16,16,1.0,False,"[128, 99, 69, 135, 40, 199, 108, 79, 80, 17, 115, 83, 150, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_Random_K20,0,0,3.270039099999849,200,external,MS_Random,,20,20.0,,,MS_Random
MS_Degree(K=20),mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.1874287999999069,239,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_Degree_K20,0,0,3.290325900001335,200,external,MS_Degree,,20,20.0,,,MS_Degree
"MS_CTQW(K=5,cheb_d50)",mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.0523534000021754,64,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_CTQW_K5_cheb_d50,0,0,3.127960699999676,200,external,MS_CTQW,cheb_d50,5,5.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=10,cheb_d50)",mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.099136400000134,122,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_CTQW_K10_cheb_d50,0,0,3.239443200000096,200,external,MS_CTQW,cheb_d50,10,10.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=20,cheb_d50)",mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.1983737000009569,244,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_CTQW_K20_cheb_d50,0,0,3.289810500002204,200,external,MS_CTQW,cheb_d50,20,20.0,True,,MS_CTQW_cheb_d50
"MS_HybridSeed(K=5,beta=0.25,cheb_d50)",mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.0533761999977286,64,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_HybridSeed_K5_b0p25_cheb_d50,0,0,3.139773300001252,200,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=5,beta=0.5,cheb_d50)",mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.0513955999995232,64,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_HybridSeed_K5_b0p5_cheb_d50,0,0,3.1796381999993173,200,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=5,beta=0.75,cheb_d50)",mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.0522005999991961,64,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_HybridSeed_K5_b0p75_cheb_d50,0,0,3.1428644999978133,200,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
"MS_HybridSeed(K=10,beta=0.25,cheb_d50)",mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.0986106999989715,124,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_HybridSeed_K10_b0p25_cheb_d50,0,0,3.163047499998356,200,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=10,beta=0.5,cheb_d50)",mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.1012260999996215,124,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_HybridSeed_K10_b0p5_cheb_d50,0,0,3.240695300002699,200,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=10,beta=0.75,cheb_d50)",mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.0998174000014842,122,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_HybridSeed_K10_b0p75_cheb_d50,0,0,3.1829447000018263,200,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
"MS_HybridSeed(K=20,beta=0.25,cheb_d50)",mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.1948196999983338,241,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_HybridSeed_K20_b0p25_cheb_d50,0,0,3.2779164999992645,200,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=20,beta=0.5,cheb_d50)",mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.189214300000458,241,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_HybridSeed_K20_b0p5_cheb_d50,0,0,3.2925987000016903,200,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=20,beta=0.75,cheb_d50)",mc_mislead_n200_p005_k16_000,maximum_clique,15.0,0.1962432000000262,241,15,16,0.875,False,"[99, 69, 135, 199, 40, 108, 110, 79, 80, 17, 115, 83, 120, 89, 188]",mc_mislead_n200_p005_k16,MS_HybridSeed_K20_b0p75_cheb_d50,0,0,3.348613000001933,200,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
ClassicalClique,mc_mislead_n200_p005_k16_001,maximum_clique,13.0,0.0159993999986909,13,13,16,0.75,False,"[160, 64, 37, 38, 134, 136, 168, 76, 15, 52, 22, 57, 190]",mc_mislead_n200_p005_k16,ClassicalClique,0,0,3.183947099998477,200,external,ClassicalClique,,0,,,,ClassicalClique
MS_Random(K=5),mc_mislead_n200_p005_k16_001,maximum_clique,13.0,0.0224754999981087,23,13,16,0.75,False,"[64, 160, 37, 101, 134, 76, 77, 172, 15, 19, 21, 22, 190]",mc_mislead_n200_p005_k16,MS_Random_K5,0,0,3.122275500001706,200,external,MS_Random,,5,5.0,,,MS_Random
MS_Degree(K=5),mc_mislead_n200_p005_k16_001,maximum_clique,16.0,0.0468875000005937,59,16,16,0.9375,False,"[160, 64, 37, 134, 136, 168, 76, 172, 77, 15, 19, 52, 21, 86, 22, 190]",mc_mislead_n200_p005_k16,MS_Degree_K5,0,0,3.1114997000004223,200,external,MS_Degree,,5,5.0,,,MS_Degree
MS_Random(K=10),mc_mislead_n200_p005_k16_001,maximum_clique,16.0,0.0467975000028673,53,16,16,1.0,False,"[64, 160, 37, 134, 136, 168, 76, 172, 77, 15, 19, 52, 21, 22, 57, 190]",mc_mislead_n200_p005_k16,MS_Random_K10,0,0,3.126431600001524,200,external,MS_Random,,10,10.0,,,MS_Random
MS_Degree(K=10),mc_mislead_n200_p005_k16_001,maximum_clique,16.0,0.099489000000176,121,16,16,0.9375,False,"[160, 64, 37, 134, 136, 168, 76, 172, 77, 15, 19, 52, 21, 86, 22, 190]",mc_mislead_n200_p005_k16,MS_Degree_K10,0,0,3.176916199998232,200,external,MS_Degree,,10,10.0,,,MS_Degree
MS_Random(K=20),mc_mislead_n200_p005_k16_001,maximum_clique,13.0,0.0680287000031967,73,13,16,0.75,False,"[64, 160, 37, 134, 168, 107, 76, 77, 172, 15, 19, 21, 57]",mc_mislead_n200_p005_k16,MS_Random_K20,0,0,3.171975900000689,200,external,MS_Random,,20,20.0,,,MS_Random
MS_Degree(K=20),mc_mislead_n200_p005_k16_001,maximum_clique,16.0,0.1870522999997774,237,16,16,0.9375,False,"[160, 64, 37, 134, 136, 168, 76, 172, 77, 15, 19, 52, 21, 86, 22, 190]",mc_mislead_n200_p005_k16,MS_Degree_K20,0,0,3.265048799999932,200,external,MS_Degree,,20,20.0,,,MS_Degree
"MS_CTQW(K=5,cheb_d50)",mc_mislead_n200_p005_k16_001,maximum_clique,16.0,0.0482674000013503,59,16,16,0.9375,False,"[160, 64, 37, 134, 136, 168, 76, 172, 77, 15, 19, 52, 21, 86, 22, 190]",mc_mislead_n200_p005_k16,MS_CTQW_K5_cheb_d50,0,0,3.1710048000022653,200,external,MS_CTQW,cheb_d50,5,5.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=10,cheb_d50)",mc_mislead_n200_p005_k16_001,maximum_clique,16.0,0.0997444999993604,122,16,16,0.9375,False,"[160, 64, 37, 134, 136, 168, 76, 172, 77, 15, 19, 52, 21, 86, 22, 190]",mc_mislead_n200_p005_k16,MS_CTQW_K10_cheb_d50,0,0,3.264532600001985,200,external,MS_CTQW,cheb_d50,10,10.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=20,cheb_d50)",mc_mislead_n200_p005_k16_001,maximum_clique,16.0,0.1914876999981061,236,16,16,0.9375,False,"[160, 64, 37, 134, 136, 168, 76, 172, 77, 15, 19, 52, 21, 86, 22, 190]",mc_mislead_n200_p005_k16,MS_CTQW_K20_cheb_d50,0,0,3.5127714999980526,200,external,MS_CTQW,cheb_d50,20,20.0,True,,MS_CTQW_cheb_d50
"MS_HybridSeed(K=5,beta=0.25,cheb_d50)",mc_mislead_n200_p005_k16_001,maximum_clique,16.0,0.0492659999981697,59,16,16,0.9375,False,"[160, 64, 37, 134, 136, 168, 76, 172, 77, 15, 19, 52, 21, 86, 22, 190]",mc_mislead_n200_p005_k16,MS_HybridSeed_K5_b0p25_cheb_d50,0,0,3.2578552000013588,200,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=5,beta=0.5,cheb_d50)",mc_mislead_n200_p005_k16_001,maximum_clique,16.0,0.0508445999985269,59,16,16,0.9375,False,"[160, 64, 37, 134, 136, 168, 76, 172, 77, 15, 19, 52, 21, 86, 22, 190]",mc_mislead_n200_p005_k16,MS_HybridSeed_K5_b0p5_cheb_d50,0,0,3.3239681999984896,200,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=5,beta=0.75,cheb_d50)",mc_mislead_n200_p005_k16_001,maximum_clique,16.0,0.0507844999992812,59,16,16,0.9375,False,"[160, 64, 37, 134, 136, 168, 76, 172, 77, 15, 19, 52, 21, 86, 22, 190]",mc_mislead_n200_p005_k16,MS_HybridSeed_K5_b0p75_cheb_d50,0,0,3.2836912000020675,200,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
"MS_HybridSeed(K=10,beta=0.25,cheb_d50)",mc_mislead_n200_p005_k16_001,maximum_clique,16.0,0.10263969999869,121,16,16,0.9375,False,"[160, 64, 37, 134, 136, 168, 76, 172, 77, 15, 19, 52, 21, 86, 22, 190]",mc_mislead_n200_p005_k16,MS_HybridSeed_K10_b0p25_cheb_d50,0,0,3.2283060000008845,200,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=10,beta=0.5,cheb_d50)",mc_mislead_n200_p005_k16_001,maximum_clique,16.0,0.0965614999986428,121,16,16,0.9375,False,"[160, 64, 37, 134, 136, 168, 76, 172, 77, 15, 19, 52, 21, 86, 22, 190]",mc_mislead_n200_p005_k16,MS_HybridSeed_K10_b0p5_cheb_d50,0,0,3.1531350999975984,200,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=10,beta=0.75,cheb_d50)",mc_mislead_n200_p005_k16_001,maximum_clique,16.0,0.0992852999988826,121,16,16,0.9375,False,"[160, 64, 37, 134, 136, 168, 76, 172, 77, 15, 19, 52, 21, 86, 22, 190]",mc_mislead_n200_p005_k16,MS_HybridSeed_K10_b0p75_cheb_d50,0,0,3.1763558000020566,200,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
